date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:48	67/67	---MC-	200	added ('OK')	text/plain	date:Thu,%2024%20Jun%202021%2000:46:56%20GMT	http://joaomalta.com.br/robots.txt		(from )
21:45:48	39954/39954	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Jun%202021%2000:46:56%20GMT	http://joaomalta.com.br/	C:/My%20Web%20Sites/http___joaomalta.com.br/joaomalta.com.br/index.html	(from )
21:45:48	331/331	---M--	403	error ('Forbidden')	text/html	date:Thu,%2024%20Jun%202021%2000:46:57%20GMT	http://joaomalta.com.br/xmlrpc.php	C:/My%20Web%20Sites/http___joaomalta.com.br/joaomalta.com.br/xmlrpc.0.delayed	(from http://joaomalta.com.br/)
21:45:49	558/558	---M--	200	added ('OK')	image/png	etag:%225b77a8-22e-559b4426d54c0%22	http://joaomalta.com.br/wp-content/uploads/2017/09/favicon.png	C:/My%20Web%20Sites/http___joaomalta.com.br/joaomalta.com.br/wp-content/uploads/2017/09/favicon.png	(from http://joaomalta.com.br/)
21:45:49	121260/121260	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	C:/My%20Web%20Sites/http___joaomalta.com.br/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	(from http://joaomalta.com.br/)
21:45:50	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/http___joaomalta.com.br/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://joaomalta.com.br/)
21:45:50	4614/4614	---M--	200	added ('OK')	text/css	etag:%225b6aac-1206-559b444559cc0%22	http://joaomalta.com.br/wp-content/themes/joao_malta/js/owl.carousel.2.0.0-beta.2.4/assets/owl.carousel.css	C:/My%20Web%20Sites/http___joaomalta.com.br/joaomalta.com.br/wp-content/themes/joao_malta/js/owl.carousel.2.0.0-beta.2.4/assets/owl.carousel.css	(from http://joaomalta.com.br/)
21:45:50	23409/23409	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap-theme.min.css	C:/My%20Web%20Sites/http___joaomalta.com.br/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap-theme.min.css	(from http://joaomalta.com.br/)
21:45:50	24826/24826	---M--	200	added ('OK')	text/css	etag:%225b66b4-60fa-55b4b6ef86280%22	http://joaomalta.com.br/wp-content/themes/joao_malta/style.css?v=1624495617	C:/My%20Web%20Sites/http___joaomalta.com.br/joaomalta.com.br/wp-content/themes/joao_malta/style488a.css	(from http://joaomalta.com.br/)
21:45:51	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jun%202021%2000:46:59%20GMT	http://joaomalta.com.br/wp-content/themes/joao_malta	C:/My%20Web%20Sites/http___joaomalta.com.br/joaomalta.com.br/wp-content/themes/joao_malta.8.delayed	(from http://joaomalta.com.br/)
